Date,Reserves,CPI,Monthly Inflation Rate,Reserves Index,Country
1981-12-01,30074510000,43.11,0.3258087037468105,39.02526218071917,USA
1982-01-01,30097360000,43.25,0.3247506379030485,39.05491277987538,USA
1982-02-01,30060760000,43.38,0.3005780346820863,39.00741991645668,USA
1982-03-01,29943510000,43.34,-0.09220839096357736,38.855274063018356,USA
1982-04-01,31555860000,43.52,0.4153207198892561,40.94749041091838,USA
1982-05-01,30914360000,43.93,0.9420955882352811,40.11506768187204,USA
1982-06-01,30671370000,44.48,1.2519918051445478,39.79975918782532,USA
1982-07-01,31226730000,44.71,0.5170863309352569,40.520404997339234,USA
1982-08-01,31232450000,44.81,0.2236636099306688,40.52782737927243,USA
1982-09-01,30992620000,44.9,0.20084802499440446,40.21661936195803,USA
1982-10-01,31711480000,45.03,0.2895322939866496,41.14942591379319,USA
1982-11-01,34005800000,44.94,-0.19986675549634736,44.126579640536114,USA
1982-12-01,33957350000,44.76,-0.4005340453938633,44.063709989371205,USA
1983-01-01,33935330000,44.85,0.20107238605899802,44.035136414166836,USA
1983-02-01,34232190000,44.9,0.11148272017835748,44.42034765554594,USA
1983-03-01,34260600000,44.9,0.0,44.45721301756029,USA
1983-04-01,34172809999,45.22,0.7126948775055597,44.34329502501875,USA
1983-05-01,33930600000,45.49,0.5970809376382169,44.02899867526054,USA
1983-06-01,33876660000,45.63,0.3077599472411485,43.959005094582814,USA
1983-07-01,33372379999,45.81,0.39447731755424265,43.304641673482415,USA
1983-08-01,32623860000,45.95,0.30561012879284366,42.33334773690667,USA
1983-09-01,33066390000,46.18,0.5005440696409069,42.90758316993063,USA
1983-10-01,33273030000,46.32,0.3031615417929956,43.175723205363425,USA
1983-11-01,33654820000,46.41,0.19430051813471572,43.671141247019854,USA
1983-12-01,33747780000,46.46,0.10773540185304853,43.791767929626474,USA
1984-01-01,33887790000,46.73,0.5811450710288435,43.97344759649129,USA
1984-02-01,34818180000,46.96,0.49218917183821986,45.180739541740586,USA
1984-03-01,34974740000,47.05,0.19165247018737563,45.38389480668133,USA
1984-04-01,34584690000,47.28,0.48884165781084565,44.87775843027522,USA
1984-05-01,34712810000,47.42,0.29610829103214886,45.04400940462505,USA
1984-06-01,34547530000,47.56,0.2952340784479146,44.82953890009383,USA
